Top Çalma,Pas Arası,Top Uzaklaştırma,İsabetli Pas,İsabetli Pas %,İsabetli Orta,İsabetli Orta %,İsabetli Uzun Top,İsabetli Uzun Top %,Başarılı Top Sürme,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele,Kazanılan Toplam İkili Mücadele %,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması
2.39,0.69,2.23,42.77,84.99,1.46,23.46,2.93,47.5,1.62,5.01,1.62,6.63,58.11,Arthur Masuaku,174975,Beşiktaş,3050,Beşiktaş
0.65,2.07,4.47,44.0,81.22,0.39,60.0,4.02,50.0,0.32,1.56,4.6,6.16,57.23,Abdülkerim Bardakcı,178963,Galatasaray S.K.,3061,Galatasaray S.K.
1.61,1.47,2.94,23.18,67.97,0.91,22.41,2.17,31.0,0.56,2.87,2.31,5.18,51.39,Cláudio Winck,155998,Kasımpaşa,6063,Kasımpaşa
2.32,1.33,2.92,29.25,74.24,1.39,26.58,3.32,42.02,0.13,3.05,0.93,3.98,50.42,Zeki Yavru,140735,Samsunspor,3053,Samsunspor
1.68,0.6,3.17,44.37,88.11,0.06,50.0,5.69,65.97,0.12,2.63,1.02,3.65,66.3,Robin Yalçın,138154,Eyüpspor,7040,Eyüpspor
1.31,0.75,4.5,47.44,81.18,0.0,0.0,3.75,39.47,0.13,1.94,3.06,5.0,60.15,Rick Van Drongelen,803023,Samsunspor,3053,Samsunspor
1.82,1.0,1.76,36.0,77.57,0.76,26.0,3.0,45.13,0.41,3.06,0.47,3.53,56.6,Florent Hadergjonaj,354860,Alanyaspor,6362,Alanyaspor
1.5,1.76,2.87,31.17,78.36,0.72,20.75,1.83,36.84,0.78,2.87,0.91,3.78,63.04,Marc Bola,862083,Samsunspor,3053,Samsunspor
1.41,1.18,5.29,33.71,80.59,0.12,66.67,2.88,41.53,0.18,2.18,3.53,5.71,64.24,Adil Demirbağ,787949,Konyaspor,3085,Konyaspor
1.12,1.05,3.75,51.49,90.09,0.13,66.67,1.71,36.11,0.59,3.16,2.17,5.33,66.39,Jerome Opoku,920514,Başakşehir FK,3086,Başakşehir FK
1.82,1.29,4.47,45.0,85.57,0.0,0.0,3.88,49.62,0.06,3.12,1.94,5.06,60.56,Fidan Aliti,385296,Alanyaspor,6362,Alanyaspor
1.19,2.1,6.29,28.6,84.16,0.0,0.0,3.36,50.53,0.07,1.68,1.75,3.43,56.98,Uroš Radaković,151900,Sivasspor,3076,Sivasspor
1.0,1.06,4.88,17.88,75.62,0.0,0.0,1.82,46.97,0.71,1.76,4.59,6.35,65.06,Héliton,922725,Göztepe,3054,Göztepe
2.09,1.23,1.84,35.14,82.54,1.41,28.05,1.6,38.24,0.61,3.5,0.86,4.36,55.91,Taha Şahin,1394729,Çaykur Rizespor,3064,Çaykur Rizespor
1.22,0.73,5.22,52.3,87.21,0.08,100.0,3.43,42.0,0.16,2.12,2.04,4.16,54.84,Nuno Lima,1133301,Alanyaspor,6362,Alanyaspor
1.05,1.05,4.51,52.26,86.66,0.0,0.0,3.14,45.71,0.07,1.37,4.06,5.43,59.71,Husniddin Alikulov,1121174,Çaykur Rizespor,3064,Çaykur Rizespor
1.83,1.63,3.59,47.95,84.07,0.0,0.0,4.61,46.58,0.34,3.46,2.24,5.7,63.64,Veysel Sarı,98276,Antalyaspor,3056,Antalyaspor
