Top Çalma,Pas Arası,Top Uzaklaştırma,İsabetli Pas,İsabetli Pas %,İsabetli Orta,İsabetli Orta %,İsabetli Uzun Top,İsabetli Uzun Top %,Başarılı Top Sürme,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele,Kazanılan Toplam İkili Mücadele %,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması,90s,minutesPlayed,appearances
2.19,1.78,4.04,41.51,83.36,0.07,33.33,3.29,44.44,0.34,3.15,2.67,5.82,60.71,Davinson Sánchez,566102,Galatasaray,3061,Galatasaray,14.6,1314,15
2.32,1.0,2.19,43.06,85.15,1.19,21.11,2.94,48.96,2.0,5.13,1.5,6.63,58.89,Arthur Masuaku,174975,Beşiktaş,3050,Beşiktaş,15.977777777777778,1438,18
0.67,2.23,4.41,43.22,81.32,0.33,60.0,4.07,50.34,0.28,1.56,4.8,6.36,58.76,Abdülkerim Bardakcı,178963,Galatasaray,3061,Galatasaray,17.933333333333334,1614,19
1.66,0.64,3.21,43.85,88.08,0.05,50.0,5.67,65.43,0.11,2.62,0.96,3.58,65.05,Robin Yalçın,138154,Eyüpspor,7040,Eyüpspor,18.7,1683,19
2.4,1.35,2.87,30.21,75.55,1.35,24.73,3.22,41.98,0.18,3.4,1.11,4.51,53.1,Zeki Yavru,140735,Samsunspor,3053,Samsunspor,17.07777777777778,1537,19
1.53,1.91,1.34,29.49,76.3,1.34,31.11,2.39,51.02,0.86,3.53,1.15,4.68,59.04,Erdoğan Yeşilyurt,142541,Antalyaspor,3056,Antalyaspor,10.477777777777778,943,11
1.2,1.13,4.53,57.6,89.72,0.0,0.0,3.6,60.67,0.2,2.27,3.27,5.53,62.88,Felix Uduokhai,792142,Beşiktaş,3050,Beşiktaş,15.0,1350,15
0.52,1.42,5.7,51.67,87.31,0.0,0.0,4.01,54.39,0.39,1.55,3.76,5.31,65.08,Gabriel Paulista,124737,Beşiktaş,3050,Beşiktaş,7.722222222222222,695,9
2.06,1.66,1.72,38.47,84.42,0.46,14.55,2.12,47.44,1.2,3.55,0.46,4.01,44.59,Pedro Malheiro,1131249,Trabzonspor,3051,Trabzonspor,17.466666666666665,1572,18
1.42,1.21,5.68,33.05,80.31,0.11,50.0,3.05,42.96,0.16,2.16,3.58,5.74,61.58,Adil Demirbağ,787949,Konyaspor,3085,Konyaspor,19.0,1710,19
2.14,2.57,4.0,38.64,76.63,0.0,0.0,3.71,38.52,0.71,3.5,2.86,6.36,61.38,Francisco Calvo,156400,Hatayspor,3091,Hatayspor,14.0,1260,14
1.48,1.87,2.97,30.07,77.26,0.71,21.31,1.7,34.44,0.71,2.69,1.04,3.74,59.65,Marc Bola,862083,Samsunspor,3053,Samsunspor,18.18888888888889,1637,20
1.2,0.98,5.3,52.22,86.82,0.05,100.0,3.5,49.61,0.16,1.59,4.1,5.69,61.9,Husniddin Alikulov,1121174,Çaykur Rizespor,3064,Çaykur Rizespor,18.288888888888888,1646,19
1.3,0.85,4.57,45.51,80.76,0.0,0.0,3.61,39.02,0.11,1.92,3.05,4.97,57.14,Rick Van Drongelen,803023,Samsunspor,3053,Samsunspor,17.711111111111112,1594,18
1.15,1.4,6.99,30.08,81.51,0.0,0.0,1.81,35.48,0.08,2.38,2.55,4.93,68.97,Arda Kızıldağ,904228,Gaziantep FK,5138,Gaziantep FK,12.166666666666666,1095,15
2.39,1.29,2.33,43.28,83.53,0.31,41.67,0.92,26.79,0.18,4.17,0.98,5.16,52.83,Jonas Svensson,98199,Beşiktaş,3050,Beşiktaş,16.288888888888888,1466,17
1.73,1.49,3.82,46.94,83.09,0.0,0.0,4.78,45.98,0.36,3.34,2.45,5.79,65.1,Veysel Sarı,98276,Antalyaspor,3056,Antalyaspor,16.744444444444444,1507,17
2.0,1.0,2.1,34.9,76.62,0.75,25.42,3.3,46.15,0.35,3.05,0.55,3.6,57.6,Florent Hadergjonaj,354860,Alanyaspor,6362,Alanyaspor,20.0,1800,20
1.67,1.36,2.96,21.99,66.17,0.8,20.63,1.98,28.83,0.68,2.96,2.59,5.56,50.28,Cláudio Winck,155998,Kasımpaşa,6063,Kasımpaşa,16.18888888888889,1457,17
1.21,1.91,6.01,32.66,85.48,0.0,0.0,3.24,50.45,0.06,1.62,1.73,3.35,56.86,Uroš Radaković,151900,Sivasspor,3076,Sivasspor,17.3,1557,18
1.85,1.2,5.15,42.15,85.07,0.0,0.0,3.55,47.65,0.05,3.15,1.95,5.1,59.65,Fidan Aliti,385296,Alanyaspor,6362,Alanyaspor,20.0,1800,20
2.61,1.26,5.22,29.77,81.7,0.1,50.0,1.93,32.79,0.0,3.77,2.22,5.99,65.26,Tolga Kalender,903851,Adana Demirspor,3101,Adana Demirspor,10.344444444444445,931,12
1.05,1.72,4.58,25.96,73.12,0.38,40.0,2.0,35.0,0.19,1.62,3.44,5.06,63.1,Taha Altıkardeş,1101279,Göztepe,3054,Göztepe,10.477777777777778,943,15
1.56,2.13,3.83,22.64,77.62,0.64,25.71,1.77,37.88,0.57,3.69,1.21,4.9,59.48,Cenk Şen,957359,Bodrum FK,202390,Bodrum FK,14.088888888888889,1268,16
0.95,1.1,4.75,17.85,75.48,0.0,0.0,1.7,43.59,0.65,1.65,4.15,5.8,62.37,Héliton,922725,Göztepe,3054,Göztepe,20.0,1800,20
1.29,1.19,5.37,41.93,85.12,0.0,0.0,3.15,46.56,0.26,2.48,2.94,5.42,65.63,Luccas Claro,998209,Eyüpspor,7040,Eyüpspor,19.366666666666667,1743,20
