Top Çalma,Pas Arası,Top Uzaklaştırma,İsabetli Pas,İsabetli Pas %,İsabetli Orta,İsabetli Orta %,İsabetli Uzun Top,İsabetli Uzun Top %,Başarılı Top Sürme,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele,Kazanılan Toplam İkili Mücadele %,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması,minutesPlayed,appearances,90s
32,28,68,635,83.01,1,33.33,48,42.11,5,47,41,88,60.27,Davinson Sánchez,566102,Galatasaray,3061,Galatasaray,1404,16,15.6
37,16,35,688,85.15,19,21.11,47,48.96,32,82,24,106,58.89,Arthur Masuaku,174975,Beşiktaş,3050,Beşiktaş,1438,18,15.977777777777778
14,41,85,804,81.29,7,63.64,77,50.66,5,31,88,119,59.5,Abdülkerim Bardakcı,178963,Galatasaray,3061,Galatasaray,1704,20,18.933333333333334
32,12,62,870,88.32,1,50.0,106,65.43,2,50,20,70,65.42,Robin Yalçın,138154,Eyüpspor,7040,Eyüpspor,1773,20,19.7
16,20,14,309,76.3,14,31.11,25,51.02,9,37,12,49,59.04,Erdoğan Yeşilyurt,142541,Antalyaspor,3056,Antalyaspor,943,11,10.477777777777778
30,22,52,404,67.11,15,19.48,39,32.23,12,57,47,104,51.74,Cláudio Winck,155998,Kasımpaşa,6063,Kasımpaşa,1625,19,18.055555555555557
18,17,68,864,89.72,0,0.0,54,60.67,3,34,49,83,62.88,Felix Uduokhai,792142,Beşiktaş,3050,Beşiktaş,1350,15,15.0
43,25,52,559,76.37,23,23.23,58,41.73,3,61,23,84,54.55,Zeki Yavru,140735,Samsunspor,3053,Samsunspor,1627,20,18.07777777777778
4,11,44,399,87.31,0,0.0,31,54.39,3,12,29,41,65.08,Gabriel Paulista,124737,Beşiktaş,3050,Beşiktaş,695,9,7.722222222222222
36,29,34,712,84.46,9,15.52,37,45.68,23,65,9,74,45.12,Pedro Malheiro,1131249,Trabzonspor,3051,Trabzonspor,1662,19,18.466666666666665
30,27,114,654,80.15,2,50.0,61,42.36,3,44,71,115,62.5,Adil Demirbağ,787949,Konyaspor,3085,Konyaspor,1800,20,20.0
45,21,47,723,75.79,18,27.69,68,44.16,8,68,13,81,59.12,Florent Hadergjonaj,354860,Alanyaspor,6362,Alanyaspor,1890,21,21.0
22,18,97,955,86.82,1,100.0,63,49.22,3,29,75,104,61.9,Husniddin Alikulov,1121174,Çaykur Rizespor,3064,Çaykur Rizespor,1646,19,18.288888888888888
11,15,42,382,74.17,27,29.35,49,40.5,10,30,13,43,54.43,Caner Erkin,15680,Eyüpspor,7040,Eyüpspor,1059,15,11.766666666666667
28,35,56,587,77.95,13,20.0,32,34.78,13,51,19,70,59.83,Marc Bola,862083,Samsunspor,3053,Samsunspor,1720,21,19.11111111111111
15,17,88,383,81.32,0,0.0,24,35.82,1,30,34,64,67.37,Arda Kızıldağ,904228,Gaziantep FK,5138,Gaziantep FK,1185,16,13.166666666666666
19,23,102,381,75.3,0,0.0,40,44.94,13,33,91,124,62.31,Héliton,922725,Göztepe,3054,Göztepe,1890,21,21.0
39,20,38,705,83.53,5,41.67,15,26.79,3,68,16,84,52.83,Jonas Svensson,98199,Beşiktaş,3050,Beşiktaş,1466,17,16.288888888888888
24,15,89,862,80.71,0,0.0,69,39.2,2,35,58,93,57.06,Rick Van Drongelen,803023,Samsunspor,3053,Samsunspor,1684,19,18.711111111111112
22,22,73,891,88.04,3,37.5,40,40.4,13,60,43,103,65.19,Jerome Opoku,920514,Başakşehir FK,3086,Başakşehir FK,1727,20,19.18888888888889
28,13,56,317,81.7,1,50.0,20,31.75,0,40,24,64,65.31,Tolga Kalender,903851,Adana Demirspor,3101,Adana Demirspor,957,13,10.633333333333333
23,12,91,771,85.76,1,100.0,53,42.4,2,34,38,72,54.96,Nuno Lima,1133301,Alanyaspor,6362,Alanyaspor,1463,19,16.255555555555556
37,24,103,843,85.07,0,0.0,71,47.65,1,63,39,102,59.65,Fidan Aliti,385296,Alanyaspor,6362,Alanyaspor,1800,20,20.0
30,26,74,821,83.27,0,0.0,82,45.3,6,57,45,102,65.38,Veysel Sarı,98276,Antalyaspor,3056,Antalyaspor,1597,18,17.744444444444444
11,18,48,272,73.12,4,40.0,21,35.0,2,17,36,53,63.1,Taha Altıkardeş,1101279,Göztepe,3054,Göztepe,943,15,10.477777777777778
25,23,104,812,85.12,0,0.0,61,46.56,5,48,57,105,65.63,Luccas Claro,998209,Eyüpspor,7040,Eyüpspor,1743,20,19.366666666666667
20,31,57,764,87.41,0,0.0,51,57.95,3,35,53,88,57.14,Alexander Djiku,289977,Fenerbahçe,3052,Fenerbahçe,1253,16,13.922222222222222
24,30,55,330,77.83,9,25.0,27,38.57,9,55,19,74,61.16,Cenk Şen,957359,Bodrum FK,202390,Bodrum FK,1295,17,14.38888888888889
9,8,22,235,82.46,6,60.0,15,41.67,5,20,15,35,50.72,Jayden Oosterwolde,1048324,Fenerbahçe,3052,Fenerbahçe,706,8,7.844444444444444
39,22,46,533,70.69,39,33.91,53,41.73,11,64,22,86,56.21,Guilherme Haubert Sityá,224112,Konyaspor,3085,Konyaspor,1890,21,21.0
37,25,32,684,82.91,25,26.6,34,42.5,12,66,15,81,54.0,Taha Şahin,1394729,Çaykur Rizespor,3064,Çaykur Rizespor,1724,20,19.155555555555555
19,11,35,434,75.87,21,27.27,71,51.45,3,34,15,49,56.98,Jure Balkovec,171625,Alanyaspor,6362,Alanyaspor,1175,16,13.055555555555555
72,29,40,457,69.56,7,13.73,53,44.17,32,122,47,169,60.14,Gökhan Sazdağı,595396,Kayserispor,3072,Kayserispor,1572,18,17.466666666666665
35,16,32,546,84.39,3,11.11,30,54.55,9,62,22,84,65.63,Eren Elmalı,981483,Trabzonspor,3051,Trabzonspor,1519,18,16.877777777777776
23,25,59,505,84.73,0,0.0,24,40.0,1,37,50,87,62.14,Çağlar Söyüncü,758608,Fenerbahçe,3052,Fenerbahçe,1151,16,12.78888888888889
30,14,47,546,83.49,7,23.33,51,54.84,8,44,22,66,59.46,Kaan Ayhan,138152,Galatasaray,3061,Galatasaray,1325,17,14.722222222222221
20,15,43,419,88.77,0,0.0,16,50.0,1,27,46,73,63.48,Ousseynou Ba,889430,Başakşehir FK,3086,Başakşehir FK,831,10,9.233333333333333
21,10,26,401,75.38,20,23.81,32,43.84,3,34,11,45,60.81,Hasan Ali Kaldırım,39847,Kayserispor,3072,Kayserispor,1331,18,14.78888888888889
40,22,19,408,81.11,9,21.95,33,55.93,13,67,8,75,59.06,Kévin Rodrigues,234232,Kasımpaşa,6063,Kasımpaşa,1067,14,11.855555555555556
41,31,88,876,86.48,0,0.0,64,52.03,1,53,48,101,58.72,Thalisson Kelven,863277,Antalyaspor,3056,Antalyaspor,1643,20,18.255555555555556
11,13,45,307,85.75,0,0.0,22,57.89,1,15,16,31,54.39,Julian Jeanvier,250477,Kayserispor,3072,Kayserispor,774,10,8.6
24,26,33,339,79.02,7,36.84,24,48.0,0,32,16,48,61.54,Mert Müldür,836683,Fenerbahçe,3052,Fenerbahçe,992,17,11.022222222222222
10,17,33,233,69.97,0,0.0,30,40.0,1,15,29,44,54.32,Koray Günter,138165,Göztepe,3054,Göztepe,911,14,10.122222222222222
33,19,41,275,65.79,16,23.19,38,44.19,19,67,41,108,52.43,Djalma,973933,Göztepe,3054,Göztepe,1655,20,18.38888888888889
