Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması,90s,minutesPlayed,appearances
0.9,0.95,5.54,2.25,16.22,0.52,46.67,0.75,1.65,4.64,2.62,3.22,50.98,1.95,Victor Osimhen,822471,Galatasaray,3061,Galatasaray,13.355555555555556,1202,16
0.97,0.73,4.06,1.95,24.0,0.59,42.31,0.22,1.03,4.81,2.6,3.14,45.49,1.78,Krzysztof Piątek,558738,Başakşehir FK,3086,Başakşehir FK,18.488888888888887,1664,21
0.52,0.36,3.29,1.27,15.79,1.21,35.59,0.63,1.61,8.19,2.54,1.79,34.09,0.75,Rômulo,1133743,Göztepe,3054,Göztepe,17.344444444444445,1561,18
0.74,0.63,4.17,1.9,17.65,0.31,33.33,0.43,2.08,8.45,2.88,3.0,53.63,2.14,Edin Džeko,14990,Fenerbahçe,3052,Fenerbahçe,16.322222222222223,1469,22
0.56,0.51,3.0,1.06,18.75,1.06,48.57,0.13,0.75,5.06,4.19,2.63,49.77,2.0,Nuno Da Costa,209374,Kasımpaşa,6063,Kasımpaşa,16.0,1440,17
0.41,0.38,4.06,1.17,10.17,1.1,51.61,0.21,0.89,5.02,4.81,3.16,49.79,3.44,Rey Manaj,587882,Sivasspor,3076,Sivasspor,14.544444444444444,1309,16
0.75,0.71,2.89,1.5,26.0,0.29,38.46,0.06,0.58,3.3,2.14,3.41,39.18,1.56,Simon Banza,825945,Trabzonspor,3051,Trabzonspor,17.288888888888888,1556,18
0.39,0.29,2.49,1.32,15.63,0.86,44.0,0.31,3.04,9.73,3.27,0.93,40.6,1.4,David Tijanič,827369,Göztepe,3054,Göztepe,12.844444444444445,1156,21
0.98,0.82,5.28,2.19,18.57,0.45,30.0,0.38,0.98,4.9,1.81,4.38,42.71,0.75,Youssef En-Nesyri,846470,Fenerbahçe,3052,Fenerbahçe,13.255555555555556,1193,21
0.61,0.6,2.44,1.32,25.0,0.61,42.86,0.25,0.51,5.07,2.33,2.18,40.45,0.71,Mame Thiam,180981,Eyüpspor,7040,Eyüpspor,19.711111111111112,1774,20
0.68,0.61,2.5,1.01,27.03,0.68,55.56,0.2,0.95,6.75,1.96,1.42,43.48,0.74,Ciro Immobile,45923,Beşiktaş,3050,Beşiktaş,14.811111111111112,1333,18
0.09,0.22,2.43,0.94,3.85,0.84,47.37,0.56,1.59,9.27,6.09,1.12,53.1,2.53,Roland Sallai,355088,Galatasaray,3061,Galatasaray,10.677777777777777,961,15
0.09,0.2,2.31,0.37,4.0,1.94,63.64,0.28,2.4,14.22,3.78,1.48,45.97,0.92,Anthony Nwakaeme,139455,Trabzonspor,3051,Trabzonspor,10.833333333333334,975,14
0.42,0.31,2.29,0.73,18.18,0.78,50.0,0.31,1.04,4.11,2.13,3.07,39.22,0.99,Marius Mouandilmadji,943593,Samsunspor,3053,Samsunspor,19.233333333333334,1731,22
0.33,0.49,2.89,1.11,11.54,0.89,61.54,0.56,1.89,8.33,6.0,1.33,55.0,4.78,Landry Dimata,826944,Samsunspor,3053,Samsunspor,9.0,810,18
0.38,0.23,1.62,0.59,23.33,0.92,42.5,0.16,1.3,6.87,3.52,2.6,47.68,1.95,Sergio Córdova,881222,Alanyaspor,6362,Alanyaspor,18.488888888888887,1664,22
0.58,0.49,2.55,1.07,22.58,0.49,30.0,0.25,0.99,3.29,2.88,3.87,46.33,1.81,Blaž Kramer,804405,Konyaspor,3085,Konyaspor,12.155555555555555,1094,18
0.52,0.53,2.76,1.2,18.87,1.25,58.54,0.21,0.83,4.32,3.44,2.45,43.13,2.03,Ali Sowe,238394,Çaykur Rizespor,3064,Çaykur Rizespor,19.211111111111112,1729,22
0.37,0.52,2.49,1.02,14.71,1.17,53.33,0.22,0.88,5.34,2.71,2.49,44.65,0.88,David Okereke,831290,Gaziantep FK,5138,Gaziantep FK,13.666666666666666,1230,16
0.43,0.49,2.39,0.72,18.18,0.94,35.14,0.58,1.88,6.29,3.9,3.04,36.36,1.16,Juan,1009928,Göztepe,3054,Göztepe,13.833333333333334,1245,19
0.38,0.34,2.47,0.95,15.38,1.27,55.56,0.06,0.95,5.14,2.22,1.4,27.8,0.76,Vincent Aboubakar,116869,Hatayspor,3091,Hatayspor,15.766666666666667,1419,18
0.32,0.26,1.98,0.83,16.13,0.77,52.17,0.0,0.83,7.28,2.49,4.4,48.87,0.96,Braian Samudio,892933,Antalyaspor,3056,Antalyaspor,15.666666666666666,1410,21
0.33,0.38,2.74,1.08,12.12,1.25,51.72,0.42,1.25,5.73,3.07,1.41,34.62,1.33,Duckens Nazon,796023,Kayserispor,3072,Kayserispor,12.033333333333333,1083,19
1.1,1.26,3.95,1.76,27.78,0.66,30.0,0.44,3.95,12.73,1.54,0.66,18.87,0.22,Michy Batshuayi,147745,Galatasaray,3061,Galatasaray,4.555555555555555,410,18
0.23,0.61,2.81,1.4,8.33,0.94,80.0,0.23,0.7,7.71,3.74,0.94,57.14,1.4,Gianni Bruno,100680,Eyüpspor,7040,Eyüpspor,4.277777777777778,385,13
0.09,0.19,2.06,0.6,4.17,2.57,60.0,0.6,1.2,6.78,5.32,1.54,41.88,2.23,Semih Kılıçsoy,1142606,Beşiktaş,3050,Beşiktaş,11.655555555555555,1049,20
0.58,0.4,2.54,0.92,22.73,0.58,35.71,0.23,0.58,3.23,2.31,0.58,33.33,1.39,Ui-Jo Hwang,791314,Alanyaspor,6362,Alanyaspor,8.655555555555555,779,17
0.21,0.3,2.5,0.5,8.57,1.14,61.54,0.07,1.14,6.07,3.85,0.64,44.37,1.21,Taulant Seferi,279487,Bodrum FK,202390,Bodrum FK,14.011111111111111,1261,17
0.0,0.13,2.45,1.23,0.0,0.98,100.0,0.25,0.98,6.38,3.68,4.17,58.18,1.23,Enis Destan,1012480,Trabzonspor,3051,Trabzonspor,4.0777777777777775,367,12
0.37,0.28,2.13,0.66,17.24,1.1,50.0,0.07,1.17,3.3,2.35,1.69,42.31,0.88,George Pușcaș,190319,Bodrum FK,202390,Bodrum FK,13.644444444444444,1228,21
0.12,0.18,2.18,0.97,5.56,3.02,54.35,0.12,0.48,8.47,7.38,0.85,47.22,2.06,Denis Drăguş,841199,Trabzonspor,3051,Trabzonspor,8.266666666666667,744,13
0.1,0.06,1.25,0.19,7.69,0.77,44.44,0.1,0.87,7.14,2.6,1.64,51.16,0.77,Kingsley Schindler,169113,Samsunspor,3053,Samsunspor,10.366666666666667,933,22
0.0,0.11,3.25,1.08,0.0,0.81,42.86,0.54,3.25,18.98,4.07,1.36,52.63,1.08,Rony Lopes,190147,Alanyaspor,6362,Alanyaspor,3.688888888888889,332,15
0.11,0.18,1.59,0.85,6.67,2.76,52.0,0.0,0.53,7.0,6.26,2.12,45.4,1.38,Halil Dervişoğlu,930775,Gaziantep FK,5138,Gaziantep FK,9.422222222222222,848,16
0.17,0.22,1.63,0.51,10.53,0.34,57.14,0.0,0.69,4.55,2.23,5.58,54.17,1.54,Mehmet Umut Nayir,284767,Konyaspor,3085,Konyaspor,11.655555555555555,1049,21
0.32,0.26,1.81,0.78,17.86,1.23,42.22,0.06,0.84,3.89,3.05,0.65,36.54,1.3,Yusuf Barası,1000187,Adana Demirspor,3101,Adana Demirspor,15.433333333333334,1389,18
0.28,0.23,1.87,0.93,15.0,1.12,52.17,0.0,0.84,6.99,4.2,3.26,46.78,2.8,Bengali-Fodé Koita,51407,Sivasspor,3076,Sivasspor,10.722222222222221,965,14
0.41,0.51,2.98,1.35,13.64,1.08,66.67,0.0,0.81,5.41,1.89,3.11,42.05,0.54,Carlos Strandberg,333423,Hatayspor,3091,Hatayspor,7.388888888888889,665,18
0.15,0.18,1.6,0.44,9.09,1.16,38.1,0.29,0.87,5.08,3.05,4.94,43.31,1.74,Philippe Keny,988909,Başakşehir FK,3086,Başakşehir FK,6.888888888888889,620,14
0.1,0.09,1.93,0.51,5.26,1.22,40.0,0.2,1.63,7.73,3.56,0.71,47.73,1.83,Nabil Alioui,873049,Adana Demirspor,3101,Adana Demirspor,9.833333333333334,885,18
0.39,0.06,1.55,1.55,25.0,1.16,37.5,0.0,2.72,9.7,3.49,1.16,42.86,1.55,Salih Kavrazlı,964233,Adana Demirspor,3101,Adana Demirspor,2.577777777777778,232,9
0.0,0.12,1.66,0.24,0.0,1.89,50.0,0.0,1.42,8.53,4.03,0.47,44.19,1.18,Muhammet Tunahan Tasci,980612,Konyaspor,3085,Konyaspor,4.222222222222222,380,8
0.0,0.13,1.2,0.6,0.0,2.11,43.75,0.3,1.81,12.04,4.52,1.2,36.54,1.51,Gaëtan Laura,1004042,Samsunspor,3053,Samsunspor,3.3222222222222224,299,11
