Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması,minutesPlayed,appearances,90s
12,12.35,68,29,17.65,7,46.67,10,22,59,33,40,52.9,24,Victor Osimhen,822471,Galatasaray,3061,Galatasaray,1112,15,12.355555555555556
15,12.62,71,33,21.13,11,45.83,4,15,78,43,55,45.79,30,Krzysztof Piątek,558738,Başakşehir FK,3086,Başakşehir FK,1491,19,16.566666666666666
9,6.2,54,21,16.67,21,36.84,10,23,130,43,28,34.63,12,Rômulo,1133743,Göztepe,3054,Göztepe,1426,16,15.844444444444445
13,12.01,48,24,27.08,5,45.45,1,8,51,32,48,38.1,24,Simon Banza,825945,Trabzonspor,3051,Trabzonspor,1381,16,15.344444444444445
5,3.18,27,15,18.52,10,47.62,4,35,108,39,10,42.24,16,David Tijanič,827369,Göztepe,3054,Göztepe,984,18,10.933333333333334
6,4.91,53,15,11.32,12,48.0,3,13,68,56,41,49.74,41,Rey Manaj,587882,Sivasspor,3076,Sivasspor,1132,14,12.577777777777778
8,7.78,45,15,17.78,17,50.0,2,12,75,66,41,50.47,31,Nuno Da Costa,209374,Kasımpaşa,6063,Kasımpaşa,1366,16,15.177777777777777
10,8.18,56,27,17.86,3,27.27,7,27,114,31,39,48.95,24,Edin Džeko,14990,Fenerbahçe,3052,Fenerbahçe,1199,19,13.322222222222223
10,5.45,51,23,19.61,35,46.67,4,21,185,89,40,45.42,31,Barış Alper Yılmaz,904096,Galatasaray,3061,Galatasaray,1626,20,18.066666666666666
11,9.71,40,22,27.5,12,44.44,5,9,93,44,39,41.09,14,Mame Thiam,180981,Eyüpspor,7040,Eyüpspor,1594,18,17.711111111111112
10,8.97,35,15,28.57,9,52.94,2,13,94,28,19,43.93,11,Ciro Immobile,45923,Beşiktaş,3050,Beşiktaş,1236,16,13.733333333333333
1,2.26,24,9,4.17,9,47.37,5,15,93,60,11,53.38,24,Roland Sallai,355088,Galatasaray,3061,Galatasaray,881,14,9.78888888888889
1,2.16,23,4,4.35,21,67.74,2,22,133,36,14,47.17,9,Anthony Nwakaeme,139455,Trabzonspor,3051,Trabzonspor,856,12,9.511111111111111
10,9.0,54,22,18.52,4,28.57,5,9,53,20,42,38.75,8,Youssef En-Nesyri,846470,Fenerbahçe,3052,Fenerbahçe,1015,19,11.277777777777779
7,5.22,40,12,17.5,14,50.0,6,20,76,38,58,40.34,18,Marius Mouandilmadji,943593,Samsunspor,3053,Samsunspor,1594,20,17.711111111111112
7,4.17,29,11,24.14,14,40.0,3,23,108,59,43,49.04,31,Sergio Córdova,881222,Alanyaspor,6362,Alanyaspor,1529,20,16.988888888888887
3,4.3,24,9,12.5,8,61.54,5,17,72,48,11,54.63,37,Landry Dimata,826944,Samsunspor,3053,Samsunspor,721,17,8.011111111111111
5,5.26,27,8,18.52,11,34.38,7,22,76,49,39,37.93,14,Juan,1009928,Göztepe,3054,Göztepe,1078,17,11.977777777777778
5,6.62,29,14,17.24,13,50.0,3,11,67,32,31,42.86,12,David Okereke,831290,Gaziantep FK,5138,Gaziantep FK,1140,15,12.666666666666666
4,3.0,26,12,15.38,12,57.14,0,11,90,34,50,49.41,14,Braian Samudio,892933,Antalyaspor,3056,Antalyaspor,1186,18,13.177777777777777
5,5.75,18,8,27.78,3,30.0,2,18,58,7,3,18.87,1,Michy Batshuayi,147745,Galatasaray,3061,Galatasaray,410,18,4.555555555555555
4,4.22,24,9,16.67,5,35.71,2,10,37,30,41,45.81,19,Blaž Kramer,804405,Konyaspor,3085,Konyaspor,919,16,10.21111111111111
3,3.49,31,12,9.68,20,58.82,1,12,73,34,20,30.68,12,Vincent Aboubakar,116869,Hatayspor,3091,Hatayspor,1162,15,12.911111111111111
1,2.07,21,7,4.76,26,57.78,7,14,75,57,15,41.62,25,Semih Kılıçsoy,1142606,Beşiktaş,3050,Beşiktaş,956,18,10.622222222222222
1,2.62,12,6,8.33,4,80.0,1,3,33,16,4,57.14,6,Gianni Bruno,100680,Eyüpspor,7040,Eyüpspor,385,13,4.277777777777778
6,8.27,46,19,13.04,15,57.69,4,14,72,50,38,40.93,31,Ali Sowe,238394,Çaykur Rizespor,3064,Çaykur Rizespor,1478,19,16.42222222222222
5,3.43,22,8,22.73,5,35.71,1,4,22,20,2,40.0,11,Ui-Jo Hwang,791314,Alanyaspor,6362,Alanyaspor,627,15,6.966666666666667
1,0.61,12,2,8.33,8,44.44,1,8,69,27,14,50.62,8,Kingsley Schindler,169113,Samsunspor,3053,Samsunspor,851,20,9.455555555555556
5,3.44,25,9,20.0,12,48.0,1,14,41,28,20,41.38,10,George Pușcaș,190319,Bodrum FK,202390,Bodrum FK,1102,18,12.244444444444444
0,0.55,10,5,0.0,4,100.0,1,4,26,15,17,60.38,5,Enis Destan,1012480,Trabzonspor,3051,Trabzonspor,366,11,4.066666666666666
