Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması
1.2,0.6,100.0,3.29,1.2,0.6,29.3,87.5,1.79,0.6,1.79,1.5,0.0,2.69,0.0,37.5,0.6,Soner Aydoğdu,69351,Samsunspor,3053,Samsunspor
0.56,0.79,35.0,2.24,1.35,0.11,16.16,77.84,0.45,0.22,0.67,1.12,0.56,3.7,1.12,39.09,1.8,João Figueiredo,841012,Başakşehir FK,3086,Başakşehir FK
0.52,1.56,48.0,3.26,1.11,0.46,15.77,77.07,1.37,0.33,1.17,1.37,0.65,4.3,1.37,42.23,1.37,Ahmed Kutucu,906049,Eyüpspor,7040,Eyüpspor
0.48,0.34,62.5,1.85,0.89,0.62,26.32,77.89,3.22,2.26,1.17,1.17,0.34,3.02,0.69,47.79,1.51,Dušan Tadić,38560,Fenerbahçe,3052,Fenerbahçe
0.47,0.54,50.0,2.88,1.14,0.27,25.53,81.58,1.27,0.2,1.01,1.47,0.87,3.02,1.07,45.86,1.01,Carlo Holse,837012,Samsunspor,3053,Samsunspor
0.47,1.64,41.18,2.03,1.09,0.47,24.2,80.31,1.72,0.39,0.47,0.7,0.47,2.58,0.47,31.97,0.23,Yunus Akgün,857738,Galatasaray S.K.,3061,Galatasaray S.K.
0.39,1.32,47.22,2.1,0.62,0.23,18.55,68.19,1.32,0.47,1.01,1.17,0.23,3.43,1.01,38.78,1.01,Deian Sorescu,797602,Gaziantep FK,5138,Gaziantep FK
0.37,1.74,53.85,1.36,1.12,0.12,32.98,83.91,1.61,0.25,0.87,0.5,0.25,4.34,0.0,52.24,2.11,Samu Sáiz,99527,Eyüpspor,7040,Eyüpspor
0.33,1.26,70.37,2.79,1.06,0.13,42.84,84.89,0.8,0.07,2.98,1.19,0.6,3.18,0.46,51.4,0.73,Olivier Ntcham,352676,Samsunspor,3053,Samsunspor
0.31,0.72,36.84,2.06,0.62,0.82,44.85,89.53,3.6,2.37,2.06,1.13,0.31,3.91,0.0,44.19,2.06,Muhammed Cham-Saračević,958901,Trabzonspor,3051,Trabzonspor
0.3,0.23,33.33,2.43,1.14,0.91,23.94,69.84,3.27,1.75,1.44,1.67,0.46,3.12,0.15,46.74,1.22,Dries Mertens,32493,Galatasaray S.K.,3061,Galatasaray S.K.
0.29,3.92,62.5,3.23,1.27,0.69,19.29,75.19,2.15,0.98,0.88,1.47,0.2,6.76,0.49,58.73,1.37,Allan Saint-Maximin,347010,Fenerbahçe,3052,Fenerbahçe
0.26,1.67,48.15,1.54,0.77,0.13,24.1,77.69,2.05,0.26,0.77,2.05,0.13,4.23,0.64,45.24,0.51,Arbnor Muja,890695,Samsunspor,3053,Samsunspor
0.26,0.43,41.67,2.48,0.51,0.0,25.96,76.96,0.51,0.17,1.79,1.79,0.6,3.07,1.88,47.15,0.85,Danijel Aleksić,45377,Konyaspor,3085,Konyaspor
0.25,1.49,40.0,2.32,0.83,0.25,13.12,66.11,1.41,0.08,0.5,0.75,0.33,3.4,1.0,35.81,1.16,Aylton Boa Morte,883918,Kayserispor,3072,Kayserispor
0.24,0.41,45.45,2.28,0.41,0.0,37.7,83.39,1.22,0.65,1.96,1.47,0.49,3.51,1.31,57.84,1.71,Aytaç Kara,128196,Kasımpaşa,6063,Kasımpaşa
0.24,2.15,48.65,2.33,1.2,0.24,27.17,78.82,1.74,0.78,0.72,0.9,0.3,4.85,0.42,47.83,1.8,Rafa Silva,252577,Beşiktaş,3050,Beşiktaş
0.23,1.72,60.0,1.26,0.46,0.23,21.7,81.47,1.03,0.46,1.26,2.64,1.03,6.2,1.72,51.11,1.84,Davidson,814334,Başakşehir FK,3086,Başakşehir FK
0.23,1.21,72.73,1.29,0.38,0.23,36.86,85.59,2.5,1.59,2.95,1.82,1.06,3.94,0.61,45.45,0.91,Alexandru Maxim,180511,Gaziantep FK,5138,Gaziantep FK
0.22,1.1,71.43,1.53,0.73,0.88,25.64,77.48,2.7,2.78,2.92,0.66,0.37,2.85,0.8,43.1,1.17,Deniz Türüç,252207,Başakşehir FK,3086,Başakşehir FK
0.22,0.8,52.38,2.03,0.8,0.15,26.98,80.17,1.52,0.8,1.16,2.47,0.44,5.22,0.58,51.95,2.03,Emre Akbaba,343527,Eyüpspor,7040,Eyüpspor
0.21,0.11,12.5,0.86,0.32,0.21,31.04,85.0,0.54,0.0,2.04,1.18,1.18,1.93,1.07,37.33,0.64,Soner Dikmen,847782,Antalyaspor,3056,Antalyaspor
0.19,0.71,42.31,2.14,0.58,0.26,16.74,73.5,2.01,1.49,1.69,1.43,0.45,4.54,0.78,43.39,2.47,Pedrinho,1015939,Konyaspor,3085,Konyaspor
0.19,1.53,54.55,1.6,0.51,0.06,33.98,82.87,0.89,0.0,1.21,2.87,0.96,6.64,0.77,57.14,2.24,Gedson Fernandes,862055,Beşiktaş,3050,Beşiktaş
0.19,0.56,42.86,1.48,0.37,0.0,52.52,88.71,0.74,0.37,3.53,0.74,0.19,2.41,0.19,41.18,1.11,Cafú,110956,Kasımpaşa,6063,Kasımpaşa
0.18,0.9,31.25,2.43,0.63,0.27,19.93,79.5,0.63,0.18,0.45,1.08,0.09,3.61,0.27,34.13,1.71,Dal Varešanović,979109,Çaykur Rizespor,3064,Çaykur Rizespor
0.16,1.04,38.24,2.09,0.8,0.24,15.83,84.91,1.37,1.13,0.48,0.88,0.4,4.42,0.16,44.19,2.49,Joelson Fernandes,1032547,Hatayspor,3091,Hatayspor
0.15,2.19,51.72,1.75,0.73,0.0,16.14,76.47,2.12,1.61,0.8,1.17,0.22,4.6,0.29,50.76,1.24,Zdravko Dimitrov,871342,Bodrum,202390,Bodrum
0.14,0.5,38.89,1.35,0.21,0.28,27.61,79.88,1.06,0.64,0.71,1.7,1.06,3.69,1.06,47.52,1.49,Mortadha Ben Ouanes,919225,Kasımpaşa,6063,Kasımpaşa
0.14,0.14,33.33,1.2,0.57,0.0,23.74,73.36,0.28,0.07,1.7,2.61,1.27,3.67,2.68,60.0,0.99,Marko Jevtović,310068,Konyaspor,3085,Konyaspor
0.14,1.05,57.69,2.04,0.56,0.49,23.19,81.28,1.76,1.41,0.84,0.98,0.14,3.3,0.84,41.26,1.26,Miguel Cardoso,344009,Kayserispor,3072,Kayserispor
0.14,0.7,58.82,2.17,0.63,0.35,30.75,75.56,2.24,1.12,2.73,2.31,0.56,4.9,0.7,46.51,1.89,Haris Hajradinović,254979,Kasımpaşa,6063,Kasımpaşa
0.14,0.97,48.28,1.88,0.49,0.49,42.36,82.77,2.15,1.53,2.71,1.25,0.83,3.33,0.83,45.8,1.11,Gabriel Sara,913593,Galatasaray S.K.,3061,Galatasaray S.K.
0.14,0.68,45.45,1.29,0.54,0.07,10.6,64.46,0.88,0.41,0.41,0.75,0.48,2.45,1.49,46.4,1.02,Mamadou Fall,822228,Kasımpaşa,6063,Kasımpaşa
0.14,0.27,25.0,1.29,0.54,0.27,41.4,83.22,1.22,1.56,4.0,2.17,0.88,3.33,0.61,43.61,0.95,Kartal Kayra Yılmaz,966811,Kayserispor,3072,Kayserispor
