Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması,90s,minutesPlayed,appearances
0.43,0.43,56.25,1.68,0.82,0.67,25.34,76.71,2.88,2.07,1.01,1.06,0.48,3.08,0.58,45.24,1.59,Dušan Tadić,38560,Fenerbahçe,3052,Fenerbahçe,20.8,1872,25
0.33,0.62,51.72,1.98,0.74,0.37,34.29,76.97,2.72,1.48,3.38,2.27,0.45,4.9,0.58,49.81,2.02,Haris Hajradinović,254979,Kasımpaşa,6063,Kasımpaşa,24.266666666666666,2184,26
0.22,0.81,46.88,2.6,0.43,0.81,30.67,79.3,2.81,2.16,2.22,1.3,0.92,3.08,0.16,47.24,0.97,Edin Višća,109779,Trabzonspor,3051,Trabzonspor,18.488888888888887,1664,21
0.23,0.23,36.36,2.22,1.14,0.97,23.47,70.24,3.3,1.99,1.7,1.76,0.51,3.24,0.17,48.39,1.25,Dries Mertens,32493,Galatasaray,3061,Galatasaray,17.6,1584,25
0.46,1.01,57.89,1.65,0.73,0.46,27.83,78.09,1.19,1.01,0.73,1.84,1.01,3.58,1.01,54.35,0.73,Oğuz Aydın,999396,Fenerbahçe,3052,Fenerbahçe,10.88888888888889,980,14
0.28,3.73,60.61,3.17,1.31,0.65,18.95,74.91,2.05,0.93,0.84,1.68,0.19,6.72,0.47,57.89,1.31,Allan Saint-Maximin,347010,Fenerbahçe,3052,Fenerbahçe,10.71111111111111,964,16
0.2,0.5,41.67,1.46,0.6,0.25,47.54,84.3,1.01,0.15,3.07,2.36,1.06,4.93,0.45,54.04,2.11,Fred,243623,Fenerbahçe,3052,Fenerbahçe,19.877777777777776,1789,22
0.12,0.56,39.13,1.12,0.37,0.69,25.38,76.22,2.74,1.87,1.81,2.49,0.5,4.18,0.37,52.52,1.12,Milot Rashica,800411,Beşiktaş,3050,Beşiktaş,16.033333333333335,1443,20
0.23,1.04,62.16,1.5,0.73,0.68,25.3,76.23,2.4,2.4,2.95,0.73,0.36,2.86,0.82,45.76,1.13,Deniz Türüç,252207,Başakşehir FK,3086,Başakşehir FK,22.055555555555557,1985,25
0.12,2.88,58.54,1.8,0.72,1.32,25.11,81.01,2.76,0.96,0.96,1.56,0.12,5.89,0.36,53.06,1.44,Emre Mor,826258,Eyüpspor,7040,Eyüpspor,8.322222222222223,749,12
0.29,1.87,49.46,2.36,1.18,0.37,28.51,79.73,1.79,0.61,0.77,0.61,0.24,4.11,0.37,46.03,1.63,Rafa Silva,252577,Beşiktaş,3050,Beşiktaş,24.555555555555557,2210,25
0.1,0.74,45.45,2.22,0.44,0.44,42.63,83.22,2.22,1.68,2.42,1.09,0.74,3.01,1.14,46.67,1.23,Gabriel Sara,913593,Galatasaray,3061,Galatasaray,20.244444444444444,1822,23
0.09,1.12,56.82,1.71,0.4,0.4,26.03,72.19,1.62,0.99,1.39,2.61,0.99,5.39,0.85,51.48,1.71,Fredy,845281,Bodrum FK,202390,Bodrum FK,22.244444444444444,2002,25
0.43,1.63,40.86,2.36,1.03,0.26,21.35,75.99,1.46,0.77,0.52,1.33,0.77,4.77,2.58,45.12,1.85,Barış Alper Yılmaz,904096,Galatasaray,3061,Galatasaray,23.27777777777778,2095,26
0.2,0.85,60.71,1.34,0.4,0.35,38.9,87.17,2.79,1.84,3.98,1.39,0.95,3.39,0.45,41.62,1.15,Alexandru Maxim,180511,Gaziantep FK,5138,Gaziantep FK,20.07777777777778,1807,24
0.35,1.92,45.83,1.92,0.93,0.58,25.42,80.78,2.15,0.52,0.58,0.64,0.47,3.14,0.47,37.8,0.58,Yunus Akgün,857738,Galatasaray,3061,Galatasaray,17.18888888888889,1547,23
0.49,1.4,42.62,3.19,1.19,0.43,16.85,77.04,1.35,0.32,1.19,1.35,0.7,4.16,1.62,41.8,1.46,Ahmed Kutucu,906049,Galatasaray,3061,Galatasaray,18.511111111111113,1666,24
0.17,0.99,53.49,2.07,0.82,0.52,21.64,79.4,1.68,1.08,0.95,0.99,0.09,3.2,1.25,42.56,1.25,Miguel Cardoso,344009,Kayserispor,3072,Kayserispor,23.155555555555555,2084,24
0.13,1.68,57.14,1.64,0.5,0.08,34.41,83.83,0.88,0.04,1.26,2.73,0.97,6.81,0.67,56.51,2.48,Gedson Fernandes,862055,Beşiktaş,3050,Beşiktaş,23.8,2142,25
0.19,0.98,48.84,1.96,0.51,0.33,17.0,73.24,2.06,1.45,1.91,1.26,0.51,4.44,0.79,44.44,2.24,Pedrinho,1015939,Konyaspor,3085,Konyaspor,21.41111111111111,1927,24
0.23,2.25,60.94,1.68,0.58,0.17,19.64,77.27,1.39,0.29,1.39,1.85,0.69,6.24,0.87,52.56,2.2,Kacper Kozłowski,984602,Gaziantep FK,5138,Gaziantep FK,17.31111111111111,1558,20
0.29,0.95,43.33,1.98,0.59,0.66,43.09,89.07,2.94,1.69,2.35,1.17,0.22,4.33,0.07,42.55,2.2,Muhammed Cham-Saračević,958901,Trabzonspor,3051,Trabzonspor,13.622222222222222,1226,23
0.1,1.44,68.18,0.96,0.19,0.0,48.45,87.54,0.67,0.1,2.3,2.97,1.82,5.94,2.3,62.32,1.63,Okay Yokuşlu,97967,Trabzonspor,3051,Trabzonspor,10.444444444444445,940,13
0.08,0.3,29.17,1.23,0.59,0.47,40.08,82.69,1.48,1.74,4.07,2.03,0.97,3.26,0.72,43.52,1.1,Kartal Kayra Yılmaz,966811,Kayserispor,3072,Kayserispor,23.6,2124,25
0.3,0.54,52.94,2.58,0.48,0.06,41.22,85.34,1.5,0.72,2.04,1.44,0.6,3.36,1.26,55.8,1.44,Aytaç Kara,128196,Kasımpaşa,6063,Kasımpaşa,16.666666666666668,1500,21
0.26,1.22,67.65,2.48,0.85,0.11,43.44,84.65,0.74,0.11,2.96,1.27,0.58,3.12,0.74,51.41,0.63,Olivier Ntcham,352676,Samsunspor,3053,Samsunspor,18.92222222222222,1703,23
0.0,0.29,42.86,1.36,0.1,0.29,44.95,85.78,2.63,2.44,3.7,1.51,0.49,3.12,1.07,49.43,1.46,Jakub Kałuziński,1019026,Antalyaspor,3056,Antalyaspor,20.533333333333335,1848,26
0.14,2.07,60.53,1.4,0.27,0.32,26.02,78.11,1.31,0.18,1.58,2.03,1.26,6.53,1.22,55.84,2.52,Ibrahim Olawoyin,1008173,Çaykur Rizespor,3064,Çaykur Rizespor,22.211111111111112,1999,24
