Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,Oyuncu,Oyuncu ID,Takım,Takım ID,Takım Kısaltması
8,24,48.0,50,17,7,242,77.07,21,5,18,21,10,66,21,42.23,21,Ahmed Kutucu,906049,Eyüpspor,7040,Eyüpspor
7,5,62.5,27,13,9,384,77.89,47,33,17,17,5,44,10,47.79,22,Dušan Tadić,38560,Fenerbahçe,3052,Fenerbahçe
7,8,47.06,44,17,5,402,82.04,21,3,17,24,15,48,18,45.83,17,Carlo Holse,837012,Samsunspor,3053,Samsunspor
6,21,41.18,26,14,6,310,80.31,22,5,6,9,6,33,6,31.97,3,Yunus Akgün,857738,Galatasaray S.K.,3061,Galatasaray S.K.
5,20,71.43,43,16,2,663,85.11,12,1,46,20,9,51,9,53.1,11,Olivier Ntcham,352676,Samsunspor,3053,Samsunspor
5,17,47.22,27,8,3,238,68.19,17,6,13,15,3,44,13,38.78,13,Deian Sorescu,797602,Gaziantep FK,5138,Gaziantep FK
5,13,46.43,17,11,3,309,77.64,17,3,11,10,7,32,3,34.31,9,Sam Larsson,229800,Antalyaspor,3056,Antalyaspor
5,7,35.0,20,12,1,144,77.84,4,2,6,10,5,33,10,39.09,16,João Figueiredo,841012,Başakşehir FK,3086,Başakşehir FK
4,3,33.33,32,15,12,315,69.84,43,23,19,22,6,41,2,46.74,16,Dries Mertens,32493,Galatasaray S.K.,3061,Galatasaray S.K.
4,5,41.67,22,10,4,521,82.31,15,2,38,25,14,50,5,48.67,20,Fred,243623,Fenerbahçe,3052,Fenerbahçe
4,12,54.55,22,8,2,225,81.82,12,4,8,10,7,37,8,48.39,15,Ernest Muçi,924670,Beşiktaş,3050,Beşiktaş
4,36,48.65,39,20,4,454,78.82,29,13,12,15,5,81,7,47.83,30,Rafa Silva,252577,Beşiktaş,3050,Beşiktaş
4,2,100.0,13,5,2,121,87.68,6,3,10,6,1,10,1,35.48,3,Soner Aydoğdu,69351,Samsunspor,3053,Samsunspor
4,14,43.75,15,8,1,198,83.19,14,5,13,15,7,42,4,49.46,15,Alassane Ndao,1016033,Konyaspor,3085,Konyaspor
3,15,71.43,21,10,12,351,77.48,37,38,40,9,5,39,11,43.1,16,Deniz Türüç,252207,Başakşehir FK,3086,Başakşehir FK
3,40,62.5,33,13,7,197,75.19,22,10,9,15,2,69,5,58.73,14,Allan Saint-Maximin,347010,Fenerbahçe,3052,Fenerbahçe
3,7,36.84,20,6,8,436,89.53,35,23,20,11,3,38,0,44.19,20,Muhammed Cham-Saračević,958901,Trabzonspor,3051,Trabzonspor
3,16,72.73,17,5,3,487,85.59,33,21,39,24,14,52,8,45.45,12,Alexandru Maxim,180511,Gaziantep FK,5138,Gaziantep FK
3,24,54.55,25,8,1,532,82.87,14,0,19,45,15,104,12,57.14,35,Gedson Fernandes,862055,Beşiktaş,3050,Beşiktaş
3,11,42.31,33,9,4,258,73.5,31,23,26,22,7,70,12,43.39,38,Pedrinho,1015939,Konyaspor,3085,Konyaspor
3,25,58.14,18,8,2,175,76.42,11,3,14,16,6,62,6,50.75,21,Kacper Kozłowski,984602,Gaziantep FK,5138,Gaziantep FK
3,11,52.38,28,11,2,372,80.17,21,11,16,34,6,72,8,51.95,28,Emre Akbaba,343527,Eyüpspor,7040,Eyüpspor
3,5,45.45,28,5,0,462,83.39,15,8,24,18,6,43,16,57.84,21,Aytaç Kara,128196,Kasımpaşa,6063,Kasımpaşa
3,4,28.57,25,4,6,300,77.32,26,19,24,11,9,21,1,40.0,6,Edin Višća,109779,Trabzonspor,3051,Trabzonspor
3,15,68.18,29,7,1,169,74.45,13,2,9,19,3,45,6,45.13,11,Taulant Seferi,279487,Bodrum,202390,Bodrum
3,14,53.85,11,9,1,266,83.91,13,2,7,4,2,35,0,52.24,17,Samu Sáiz,99527,Eyüpspor,7040,Eyüpspor
3,5,41.67,29,6,0,304,76.96,6,2,21,21,7,36,22,47.15,10,Danijel Aleksić,45377,Konyaspor,3085,Konyaspor
3,20,40.0,30,10,3,179,66.05,17,2,8,9,4,44,14,36.48,15,Aylton Boa Morte,883918,Kayserispor,3072,Kayserispor
2,14,48.28,27,7,7,610,82.77,31,22,39,18,12,48,12,45.8,16,Gabriel Sara,913593,Galatasaray S.K.,3061,Galatasaray S.K.
2,10,58.82,31,9,5,439,75.56,32,16,39,33,8,70,10,46.51,27,Haris Hajradinović,254979,Kasımpaşa,6063,Kasımpaşa
2,16,64.0,14,4,3,235,78.33,20,12,12,18,1,39,5,55.7,5,Josip Brekalo,357598,Kasımpaşa,6063,Kasımpaşa
2,5,50.0,13,4,7,518,82.48,26,19,46,14,4,31,15,41.07,12,Görkem Sağlam,795001,Hatayspor,3091,Hatayspor
2,15,55.56,29,8,7,358,81.18,26,20,13,14,2,49,18,42.68,20,Miguel Cardoso,344009,Kayserispor,3072,Kayserispor
2,30,51.72,24,10,0,221,76.47,29,22,11,16,3,63,4,50.76,17,Zdravko Dimitrov,871342,Bodrum,202390,Bodrum
2,5,29.41,19,8,4,659,82.79,19,26,61,35,14,53,12,44.83,16,Kartal Kayra Yılmaz,966811,Kayserispor,3072,Kayserispor
2,7,38.89,19,3,4,389,79.88,15,9,10,24,15,52,15,47.52,21,Mortadha Ben Ouanes,919225,Kasımpaşa,6063,Kasımpaşa
2,20,48.78,12,5,1,193,70.18,14,3,15,22,11,53,24,50.0,12,Isaac Solet,1606478,Göztepe,3054,Göztepe
2,6,75.0,9,2,1,649,87.82,7,3,66,12,6,25,2,39.13,7,Sofyan Amrabat,359272,Fenerbahçe,3052,Fenerbahçe
2,23,62.16,11,4,1,149,81.87,4,0,5,15,7,52,4,48.7,14,Prince Ampem,923888,Eyüpspor,7040,Eyüpspor
2,15,60.0,11,4,2,189,81.47,9,4,11,23,9,54,15,51.11,16,Davidson,814334,Başakşehir FK,3086,Başakşehir FK
2,17,50.0,12,5,2,172,75.77,12,2,6,12,12,42,7,52.69,13,Carlos Mané,859748,Kayserispor,3072,Kayserispor
2,2,33.33,17,8,0,336,73.36,4,1,24,37,18,52,38,60.0,14,Marko Jevtović,310068,Konyaspor,3085,Konyaspor
